Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA
100096,Humanities,Senior,3.773,5.21,Copywriting/Drafting,Beginner,1,FALSE,11.81,1,Allowed_With_Citation,3,3.873
100097,Business,Freshman,2.907,3.32,Direct_Answer_Generation,Intermediate,2,FALSE,8.4,2,Actively_Encouraged,5,2.993
100098,Humanities,Graduate,2.292,3.02,Copywriting/Drafting,Beginner,2,FALSE,9.14,2,Allowed_With_Citation,3,2.918
100099,STEM,Freshman,2.016,28.71,Debugging/Troubleshooting,Advanced,5,TRUE,5.64,6,Allowed_With_Citation,4,2.473
100100,STEM,Graduate,2.661,11.3,Direct_Answer_Generation,Advanced,3,FALSE,11.04,6,Allowed_With_Citation,2,2.754
100101,STEM,Sophomore,3.612,25.83,Debugging/Troubleshooting,Intermediate,3,TRUE,10.46,7,Allowed_With_Citation,6,3.715
100102,Business,Freshman,2.038,8.9,Debugging/Troubleshooting,Intermediate,3,TRUE,13.27,6,Strict_Ban,4,1.942
100103,Humanities,Graduate,3.786,3.32,Copywriting/Drafting,Beginner,2,TRUE,10.21,5,Allowed_With_Citation,2,4
100104,Business,Freshman,3.204,4.77,Debugging/Troubleshooting,Intermediate,2,FALSE,13.78,2,Allowed_With_Citation,4,3.348
100105,Medical,Junior,2.076,5.72,Copywriting/Drafting,Intermediate,2,TRUE,13.43,2,Actively_Encouraged,2,2.307
100106,STEM,Senior,2.972,9.6,Debugging/Troubleshooting,Intermediate,3,TRUE,8.86,3,Allowed_With_Citation,1,3.234
100107,Humanities,Sophomore,2.728,6.37,Copywriting/Drafting,Advanced,3,TRUE,9.82,2,Strict_Ban,1,2.869
100108,Arts,Junior,2.133,4.33,Direct_Answer_Generation,Beginner,1,FALSE,11.66,2,Strict_Ban,4,2.468
100109,STEM,Senior,2.926,0.43,Copywriting/Drafting,Intermediate,4,FALSE,19.85,3,Allowed_With_Citation,1,3.321
100110,STEM,Graduate,2.379,10.28,Ideation,Advanced,4,FALSE,21.84,4,Allowed_With_Citation,2,3.09
100111,STEM,Freshman,3.866,7.54,Debugging/Troubleshooting,Beginner,1,FALSE,5.89,2,Strict_Ban,4,4
100112,STEM,Freshman,3.203,12.06,Ideation,Beginner,3,TRUE,10.76,6,Allowed_With_Citation,6,3.257
100113,Medical,Junior,3.501,9.86,Ideation,Intermediate,2,FALSE,10.92,5,Allowed_With_Citation,3,3.839
100114,Arts,Sophomore,3.151,2.86,Copywriting/Drafting,Beginner,1,TRUE,8.7,4,Allowed_With_Citation,1,3.176
100115,Business,Sophomore,3.784,2.61,Ideation,Advanced,5,FALSE,17.37,1,Allowed_With_Citation,3,4
100116,Medical,Sophomore,3.242,1.25,Ideation,Beginner,3,FALSE,8.2,2,Allowed_With_Citation,3,3.705
100117,Arts,Junior,2.845,5.45,Summarizing_Reading,Advanced,3,TRUE,13.36,3,Actively_Encouraged,4,3.213
100118,STEM,Graduate,3.915,0.73,Debugging/Troubleshooting,Intermediate,2,FALSE,14.34,1,Strict_Ban,6,4
100119,Medical,Freshman,2.67,27.9,Summarizing_Reading,Beginner,2,FALSE,3.85,7,Allowed_With_Citation,5,2.602
100120,Business,Freshman,2.074,0.9,Ideation,Advanced,5,TRUE,14.29,1,Allowed_With_Citation,3,2.217
100121,Arts,Senior,1.845,3.58,Ideation,Intermediate,4,FALSE,13.55,3,Allowed_With_Citation,2,2.293
100122,Medical,Freshman,3.667,0.51,Direct_Answer_Generation,Beginner,2,FALSE,18.15,4,Actively_Encouraged,9,3.99
100123,Humanities,Senior,3.684,18.48,Copywriting/Drafting,Beginner,1,FALSE,15.63,4,Allowed_With_Citation,4,4
100124,STEM,Sophomore,3.856,3.16,Ideation,Advanced,3,TRUE,6.88,5,Actively_Encouraged,6,4
100125,STEM,Sophomore,3.446,40,Summarizing_Reading,Intermediate,4,FALSE,7.47,10,Actively_Encouraged,2,3.441
100126,Humanities,Sophomore,3.086,18.06,Debugging/Troubleshooting,Beginner,2,FALSE,7.85,7,Actively_Encouraged,8,3.137
100127,Arts,Sophomore,2.461,5.4,Direct_Answer_Generation,Intermediate,2,FALSE,11.48,4,Allowed_With_Citation,2,2.574
100128,Arts,Senior,3.887,23.63,Ideation,Beginner,2,TRUE,17.8,7,Strict_Ban,9,4
100129,STEM,Graduate,3.092,3.94,Debugging/Troubleshooting,Intermediate,4,FALSE,13.31,3,Allowed_With_Citation,3,3.456
100130,Business,Junior,3.537,8.18,Ideation,Intermediate,2,FALSE,14.57,2,Actively_Encouraged,1,3.576
100131,Humanities,Junior,3.138,1.62,Copywriting/Drafting,Beginner,2,FALSE,11.94,1,Allowed_With_Citation,6,3.146
100132,STEM,Freshman,3.505,20.76,Ideation,Advanced,3,TRUE,7.95,5,Allowed_With_Citation,4,4
100133,STEM,Senior,3.724,9.69,Debugging/Troubleshooting,Beginner,3,FALSE,13.35,5,Actively_Encouraged,5,3.897
100134,Humanities,Junior,3.416,16.77,Direct_Answer_Generation,Advanced,3,FALSE,11.01,6,Allowed_With_Citation,1,3.717
100135,Medical,Freshman,2.398,6.97,Summarizing_Reading,Beginner,2,FALSE,10.01,3,Allowed_With_Citation,7,2.57
100136,Humanities,Freshman,2.686,6.39,Debugging/Troubleshooting,Beginner,1,TRUE,8.27,3,Actively_Encouraged,7,2.785
100137,Business,Freshman,3.164,11.13,Debugging/Troubleshooting,Beginner,3,TRUE,12.68,8,Allowed_With_Citation,3,3.49
100138,Business,Freshman,2.767,0.44,Ideation,Advanced,4,TRUE,19.67,4,Strict_Ban,2,3.137
100139,Humanities,Senior,3.706,4.18,Direct_Answer_Generation,Intermediate,1,TRUE,5.38,1,Allowed_With_Citation,3,3.881
100140,Medical,Graduate,3.393,1.9,Ideation,Beginner,2,FALSE,9.32,3,Allowed_With_Citation,2,3.384
100141,Medical,Senior,2.443,20.69,Ideation,Beginner,2,FALSE,1.95,4,Allowed_With_Citation,7,2.674
100142,STEM,Junior,2.407,25.2,Debugging/Troubleshooting,Advanced,4,TRUE,10.34,4,Allowed_With_Citation,4,2.794
100143,Humanities,Sophomore,3.43,10.37,Copywriting/Drafting,Advanced,4,TRUE,16.72,4,Actively_Encouraged,1,3.641
100144,Humanities,Sophomore,3.668,16.61,Summarizing_Reading,Beginner,3,FALSE,6.92,5,Allowed_With_Citation,7,3.645
100145,STEM,Junior,3.691,22.04,Summarizing_Reading,Intermediate,1,TRUE,1,6,Allowed_With_Citation,9,3.877
100146,STEM,Sophomore,2.425,9.16,Ideation,Advanced,3,FALSE,18.86,5,Actively_Encouraged,4,2.992
100147,Business,Sophomore,3.087,25.66,Ideation,Intermediate,1,FALSE,1,5,Allowed_With_Citation,4,3.103
100148,Business,Junior,2.107,6.05,Ideation,Beginner,2,TRUE,6.14,1,Actively_Encouraged,1,2.313
100149,STEM,Sophomore,3.221,40,Debugging/Troubleshooting,Beginner,3,TRUE,4.54,6,Allowed_With_Citation,5,3.347
100150,STEM,Freshman,3.641,35.18,Debugging/Troubleshooting,Advanced,4,TRUE,7.77,8,Actively_Encouraged,6,3.84
100151,Medical,Freshman,3.85,20.4,Copywriting/Drafting,Beginner,1,FALSE,16.51,6,Actively_Encouraged,6,4
100152,STEM,Sophomore,2.784,4.43,Copywriting/Drafting,Intermediate,5,TRUE,17.4,4,Allowed_With_Citation,3,3.092
100153,STEM,Junior,2.871,4.13,Summarizing_Reading,Advanced,4,FALSE,10.31,1,Allowed_With_Citation,4,2.848
100154,Humanities,Sophomore,3.518,4.01,Ideation,Intermediate,3,TRUE,18.42,1,Allowed_With_Citation,3,3.728
100155,Medical,Freshman,3.661,1.52,Summarizing_Reading,Intermediate,3,FALSE,8,3,Strict_Ban,2,3.851
100156,STEM,Sophomore,3.441,1.35,Copywriting/Drafting,Advanced,3,FALSE,20.18,3,Actively_Encouraged,4,3.745
100157,Business,Freshman,2.323,9.72,Summarizing_Reading,Beginner,3,FALSE,10.26,6,Allowed_With_Citation,7,2.537
100158,Arts,Graduate,3.033,3.86,Copywriting/Drafting,Beginner,3,TRUE,6.6,5,Actively_Encouraged,5,3.487
100159,STEM,Sophomore,2.148,10.2,Direct_Answer_Generation,Beginner,2,TRUE,6.81,4,Strict_Ban,4,2.536
100160,Business,Freshman,3.491,2.92,Ideation,Intermediate,3,TRUE,13.33,4,Actively_Encouraged,9,3.739
100161,Humanities,Senior,3.564,2.76,Copywriting/Drafting,Beginner,3,FALSE,21.05,1,Actively_Encouraged,5,4
100162,Business,Sophomore,3.518,9.49,Summarizing_Reading,Beginner,2,FALSE,7.24,5,Strict_Ban,5,3.553
100163,Business,Junior,3.34,2.62,Debugging/Troubleshooting,Beginner,1,FALSE,18.85,3,Allowed_With_Citation,2,3.728
100164,Business,Freshman,3.565,1.41,Ideation,Intermediate,2,FALSE,15.13,4,Allowed_With_Citation,5,3.905
100165,STEM,Graduate,2.309,27.25,Debugging/Troubleshooting,Beginner,3,TRUE,12.13,6,Allowed_With_Citation,5,2.606
100166,Arts,Graduate,3.365,9.67,Ideation,Beginner,2,FALSE,7.94,3,Actively_Encouraged,5,3.286
100167,Humanities,Senior,3.257,1.18,Summarizing_Reading,Beginner,1,FALSE,16.79,1,Strict_Ban,2,3.809
100168,STEM,Senior,2.258,2.67,Debugging/Troubleshooting,Intermediate,1,FALSE,6.45,3,Allowed_With_Citation,1,2.326
100169,STEM,Junior,2.086,4.31,Debugging/Troubleshooting,Intermediate,2,FALSE,5.11,2,Strict_Ban,5,2.38
100170,Business,Graduate,2.331,5.54,Summarizing_Reading,Intermediate,2,TRUE,11,3,Strict_Ban,4,2.493
100171,Business,Junior,1.737,0.78,Ideation,Advanced,4,TRUE,15.51,5,Allowed_With_Citation,5,2.001
100172,STEM,Sophomore,3.3,2.54,Ideation,Intermediate,1,FALSE,9.31,4,Allowed_With_Citation,7,3.386
100173,Business,Freshman,2.624,0.11,Summarizing_Reading,Advanced,3,FALSE,10.56,3,Allowed_With_Citation,7,2.737
100174,STEM,Freshman,3.478,9.82,Copywriting/Drafting,Beginner,2,FALSE,1.21,3,Allowed_With_Citation,6,3.476
100175,Business,Junior,2.121,14.99,Direct_Answer_Generation,Intermediate,2,FALSE,14.5,6,Actively_Encouraged,3,2.264
100176,STEM,Sophomore,3.174,2.13,Debugging/Troubleshooting,Beginner,2,FALSE,18.79,5,Actively_Encouraged,8,3.084
100177,Business,Senior,3.349,18.12,Ideation,Advanced,4,FALSE,6.81,6,Allowed_With_Citation,5,3.457
100178,Humanities,Sophomore,2.576,3.46,Summarizing_Reading,Beginner,3,TRUE,18.16,3,Allowed_With_Citation,4,2.835
100179,Medical,Graduate,3.66,2.94,Copywriting/Drafting,Beginner,1,TRUE,12.84,3,Strict_Ban,5,3.961
100180,STEM,Junior,2.866,2.7,Debugging/Troubleshooting,Advanced,5,FALSE,10.94,2,Actively_Encouraged,2,3.515
100181,Humanities,Junior,2.129,26.24,Copywriting/Drafting,Advanced,5,TRUE,7.7,7,Strict_Ban,9,2.284
100182,STEM,Junior,3.676,3.1,Debugging/Troubleshooting,Beginner,1,TRUE,17.08,4,Strict_Ban,1,3.814
100183,Medical,Graduate,3.443,3.49,Ideation,Advanced,3,TRUE,10.52,2,Actively_Encouraged,3,3.805
100184,Medical,Freshman,3.295,0.75,Summarizing_Reading,Beginner,2,FALSE,18.67,1,Allowed_With_Citation,5,3.413
100185,STEM,Freshman,3.022,37.66,Copywriting/Drafting,Intermediate,3,TRUE,7.47,6,Allowed_With_Citation,7,3.26
100186,Business,Senior,3.43,0.36,Debugging/Troubleshooting,Beginner,2,FALSE,12.55,4,Allowed_With_Citation,1,3.995
100187,Arts,Senior,2.82,3.33,Copywriting/Drafting,Intermediate,3,FALSE,12.62,2,Allowed_With_Citation,1,3.102
100188,Business,Junior,3.396,1.87,Copywriting/Drafting,Intermediate,3,FALSE,3.97,2,Actively_Encouraged,1,3.49
100189,Business,Sophomore,3.326,3.23,Ideation,Beginner,2,FALSE,15.68,1,Allowed_With_Citation,4,3.592
100190,STEM,Sophomore,3.414,1.7,Copywriting/Drafting,Intermediate,4,FALSE,10.47,3,Allowed_With_Citation,8,3.882
100191,STEM,Sophomore,3.05,3.49,Summarizing_Reading,Intermediate,2,FALSE,3.56,2,Actively_Encouraged,1,2.981
100192,Medical,Graduate,3.668,3.05,Summarizing_Reading,Intermediate,2,FALSE,5,4,Actively_Encouraged,9,4
100193,Medical,Sophomore,3.282,2.41,Direct_Answer_Generation,Beginner,2,FALSE,12.17,3,Allowed_With_Citation,1,3.661
100194,Business,Senior,3.295,7.69,Copywriting/Drafting,Advanced,5,FALSE,16.64,1,Allowed_With_Citation,2,3.857
100195,Humanities,Senior,2.228,3.64,Ideation,Beginner,3,FALSE,2.4,1,Allowed_With_Citation,5,2.429
100196,Humanities,Freshman,3.781,2.11,Copywriting/Drafting,Intermediate,2,FALSE,18.87,2,Actively_Encouraged,3,3.95
100197,Business,Freshman,3.861,6.34,Direct_Answer_Generation,Beginner,2,FALSE,11.62,3,Allowed_With_Citation,6,3.797
100198,Medical,Sophomore,2.816,2.64,Direct_Answer_Generation,Intermediate,1,FALSE,13.48,1,Allowed_With_Citation,6,2.921
100199,Medical,Senior,1.691,8.1,Summarizing_Reading,Beginner,3,FALSE,9.79,4,Allowed_With_Citation,3,1.86
100200,Arts,Sophomore,2.874,14.28,Direct_Answer_Generation,Advanced,3,FALSE,13.68,6,Strict_Ban,5,3.035
100201,Business,Freshman,3.337,17.53,Copywriting/Drafting,Beginner,2,TRUE,13.95,6,Strict_Ban,10,3.714
100202,STEM,Sophomore,2.773,1.76,Summarizing_Reading,Advanced,3,TRUE,18.52,2,Actively_Encouraged,2,3.061
100203,STEM,Freshman,3.548,0.87,Debugging/Troubleshooting,Intermediate,5,TRUE,12.01,4,Strict_Ban,7,3.673
100204,Medical,Freshman,2.053,10.51,Direct_Answer_Generation,Beginner,3,FALSE,11.46,4,Allowed_With_Citation,6,2.172
100205,Business,Sophomore,3.357,21.32,Debugging/Troubleshooting,Beginner,2,TRUE,14.42,6,Allowed_With_Citation,6,3.824
100206,STEM,Freshman,3.219,8.15,Debugging/Troubleshooting,Intermediate,3,TRUE,17.99,4,Actively_Encouraged,6,3.384
100207,STEM,Senior,3.819,0.81,Debugging/Troubleshooting,Beginner,2,TRUE,12.11,4,Actively_Encouraged,5,4
100208,Business,Sophomore,3.166,9.73,Ideation,Beginner,1,FALSE,11.08,4,Allowed_With_Citation,4,3.424
100209,STEM,Senior,3.742,1.59,Direct_Answer_Generation,Beginner,2,TRUE,20.06,4,Actively_Encouraged,6,4
100210,STEM,Junior,2.358,6.03,Summarizing_Reading,Advanced,4,TRUE,10.87,2,Allowed_With_Citation,7,2.525
100211,Business,Graduate,3.179,9.61,Debugging/Troubleshooting,Advanced,3,TRUE,6.04,4,Allowed_With_Citation,7,3.448
100212,Business,Freshman,3.37,16.68,Summarizing_Reading,Advanced,4,TRUE,13.45,5,Allowed_With_Citation,6,3.544
100213,Business,Freshman,2.363,6.12,Ideation,Advanced,5,TRUE,11.18,6,Allowed_With_Citation,1,2.653
